"landtype","spp","DOMName","poolID","amountAtT0"
137,"ACER.RUB","Extra",10,0
217,"ACER.RUB","VF_A",1,9
217,"ACER.RUB","VF_B",2,3
217,"ACER.RUB","Fast_A",3,9
217,"ACER.RUB","Fast_B",4,3
217,"ACER.RUB","MED",5,0
217,"ACER.RUB","Slow_A",6,49
217,"ACER.RUB","Slow_B",7,138
217,"ACER.RUB","Sng_Stem",8,0
217,"ACER.RUB","Sng_Oth",9,1
217,"ACER.RUB","Extra",10,0
218,"ACER.RUB","VF_A",1,4
218,"ACER.RUB","VF_B",2,1
218,"ACER.RUB","Fast_A",3,3
218,"ACER.RUB","Fast_B",4,1
218,"ACER.RUB","MED",5,0
218,"ACER.RUB","Slow_A",6,21
218,"ACER.RUB","Slow_B",7,64
218,"ACER.RUB","Sng_Stem",8,0
218,"ACER.RUB","Sng_Oth",9,0
218,"ACER.RUB","Extra",10,0
219,"ACER.RUB","VF_A",1,7
219,"ACER.RUB","VF_B",2,2
219,"ACER.RUB","Fast_A",3,9
219,"ACER.RUB","Fast_B",4,2
219,"ACER.RUB","MED",5,0
219,"ACER.RUB","Slow_A",6,43
219,"ACER.RUB","Slow_B",7,111
219,"ACER.RUB","Sng_Stem",8,0
219,"ACER.RUB","Sng_Oth",9,1
219,"ACER.RUB","Extra",10,0
220,"ACER.RUB","VF_A",1,2
220,"ACER.RUB","VF_B",2,1
220,"ACER.RUB","Fast_A",3,3
220,"ACER.RUB","Fast_B",4,1
220,"ACER.RUB","MED",5,0
220,"ACER.RUB","Slow_A",6,17
220,"ACER.RUB","Slow_B",7,48
220,"ACER.RUB","Sng_Stem",8,0
220,"ACER.RUB","Sng_Oth",9,0
220,"ACER.RUB","Extra",10,0
221,"ACER.RUB","VF_A",1,4
221,"ACER.RUB","VF_B",2,1
221,"ACER.RUB","Fast_A",3,4
221,"ACER.RUB","Fast_B",4,2
221,"ACER.RUB","MED",5,0
221,"ACER.RUB","Slow_A",6,32
221,"ACER.RUB","Slow_B",7,98
221,"ACER.RUB","Sng_Stem",8,0
221,"ACER.RUB","Sng_Oth",9,1
221,"ACER.RUB","Extra",10,0
222,"ACER.RUB","VF_A",1,2
222,"ACER.RUB","VF_B",2,0
222,"ACER.RUB","Fast_A",3,1
222,"ACER.RUB","Fast_B",4,0
222,"ACER.RUB","MED",5,0
222,"ACER.RUB","Slow_A",6,8
222,"ACER.RUB","Slow_B",7,23
222,"ACER.RUB","Sng_Stem",8,0
222,"ACER.RUB","Sng_Oth",9,0
222,"ACER.RUB","Extra",10,0
223,"ACER.RUB","VF_A",1,1
223,"ACER.RUB","VF_B",2,0
223,"ACER.RUB","Fast_A",3,1
223,"ACER.RUB","Fast_B",4,0
223,"ACER.RUB","MED",5,0
223,"ACER.RUB","Slow_A",6,6
223,"ACER.RUB","Slow_B",7,18
223,"ACER.RUB","Sng_Stem",8,0
223,"ACER.RUB","Sng_Oth",9,0
223,"ACER.RUB","Extra",10,0
378,"ACER.RUB","VF_A",1,22
378,"ACER.RUB","VF_B",2,9
378,"ACER.RUB","Fast_A",3,48
378,"ACER.RUB","Fast_B",4,10
378,"ACER.RUB","MED",5,0
378,"ACER.RUB","Slow_A",6,247
378,"ACER.RUB","Slow_B",7,641
378,"ACER.RUB","Sng_Stem",8,0
378,"ACER.RUB","Sng_Oth",9,6
378,"ACER.RUB","Extra",10,0
379,"ACER.RUB","VF_A",1,14
379,"ACER.RUB","VF_B",2,6
379,"ACER.RUB","Fast_A",3,31
379,"ACER.RUB","Fast_B",4,7
379,"ACER.RUB","MED",5,0
379,"ACER.RUB","Slow_A",6,165
379,"ACER.RUB","Slow_B",7,435
379,"ACER.RUB","Sng_Stem",8,0
379,"ACER.RUB","Sng_Oth",9,4
379,"ACER.RUB","Extra",10,0
28,"ACER.SAH","VF_A",1,6
28,"ACER.SAH","VF_B",2,2
28,"ACER.SAH","Fast_A",3,17
28,"ACER.SAH","Fast_B",4,4
28,"ACER.SAH","MED",5,7
28,"ACER.SAH","Slow_A",6,194
28,"ACER.SAH","Slow_B",7,601
28,"ACER.SAH","Sng_Stem",8,3
28,"ACER.SAH","Sng_Oth",9,3
28,"ACER.SAH","Extra",10,0
29,"ACER.SAH","VF_A",1,8
29,"ACER.SAH","VF_B",2,2
29,"ACER.SAH","Fast_A",3,24
29,"ACER.SAH","Fast_B",4,4
29,"ACER.SAH","MED",5,7
29,"ACER.SAH","Slow_A",6,170
29,"ACER.SAH","Slow_B",7,486
29,"ACER.SAH","Sng_Stem",8,5
29,"ACER.SAH","Sng_Oth",9,6
29,"ACER.SAH","Extra",10,0
130,"ACER.SAH","VF_A",1,15
130,"ACER.SAH","VF_B",2,6
130,"ACER.SAH","Fast_A",3,19
130,"ACER.SAH","Fast_B",4,7
130,"ACER.SAH","MED",5,1
130,"ACER.SAH","Slow_A",6,152
130,"ACER.SAH","Slow_B",7,438
130,"ACER.SAH","Sng_Stem",8,0
130,"ACER.SAH","Sng_Oth",9,2
130,"ACER.SAH","Extra",10,0
131,"ACER.SAH","VF_A",1,12
131,"ACER.SAH","VF_B",2,4
131,"ACER.SAH","Fast_A",3,25
131,"ACER.SAH","Fast_B",4,5
131,"ACER.SAH","MED",5,1
131,"ACER.SAH","Slow_A",6,157
131,"ACER.SAH","Slow_B",7,418
131,"ACER.SAH","Sng_Stem",8,0
131,"ACER.SAH","Sng_Oth",9,3
131,"ACER.SAH","Extra",10,0
132,"ACER.SAH","VF_A",1,9
132,"ACER.SAH","VF_B",2,3
132,"ACER.SAH","Fast_A",3,22
132,"ACER.SAH","Fast_B",4,4
132,"ACER.SAH","MED",5,1
132,"ACER.SAH","Slow_A",6,148
132,"ACER.SAH","Slow_B",7,397
132,"ACER.SAH","Sng_Stem",8,0
132,"ACER.SAH","Sng_Oth",9,3
132,"ACER.SAH","Extra",10,0
133,"ACER.SAH","VF_A",1,7
133,"ACER.SAH","VF_B",2,2
133,"ACER.SAH","Fast_A",3,13
133,"ACER.SAH","Fast_B",4,4
133,"ACER.SAH","MED",5,6
133,"ACER.SAH","Slow_A",6,167
133,"ACER.SAH","Slow_B",7,524
133,"ACER.SAH","Sng_Stem",8,1
133,"ACER.SAH","Sng_Oth",9,1
133,"ACER.SAH","Extra",10,0
134,"ACER.SAH","VF_A",1,7
134,"ACER.SAH","VF_B",2,2
134,"ACER.SAH","Fast_A",3,13
134,"ACER.SAH","Fast_B",4,4
134,"ACER.SAH","MED",5,7
134,"ACER.SAH","Slow_A",6,137
134,"ACER.SAH","Slow_B",7,418
134,"ACER.SAH","Sng_Stem",8,2
134,"ACER.SAH","Sng_Oth",9,2
134,"ACER.SAH","Extra",10,0
135,"ACER.SAH","VF_A",1,6
135,"ACER.SAH","VF_B",2,2
135,"ACER.SAH","Fast_A",3,10
135,"ACER.SAH","Fast_B",4,4
135,"ACER.SAH","MED",5,7
135,"ACER.SAH","Slow_A",6,133
135,"ACER.SAH","Slow_B",7,429
135,"ACER.SAH","Sng_Stem",8,2
135,"ACER.SAH","Sng_Oth",9,1
135,"ACER.SAH","Extra",10,0
136,"ACER.SAH","VF_A",1,5
136,"ACER.SAH","VF_B",2,1
136,"ACER.SAH","Fast_A",3,18
136,"ACER.SAH","Fast_B",4,4
