"landtype","spp","poolID","DOMName","amountAtT0"
17,"LARI.LAR",9,"Sng_Oth",1
17,"LARI.LAR",10,"Extra",0
17,"PICE.GLA",1,"VF_A",0
17,"PICE.GLA",2,"VF_B",0
17,"PICE.GLA",3,"Fast_A",16
17,"PICE.GLA",4,"Fast_B",0
17,"PICE.GLA",5,"MED",10
17,"PICE.GLA",6,"Slow_A",346
17,"PICE.GLA",7,"Slow_B",345
17,"PICE.GLA",8,"Sng_Stem",25
17,"PICE.GLA",9,"Sng_Oth",4
17,"PICE.GLA",10,"Extra",0
17,"PICE.MAR",1,"VF_A",0
17,"PICE.MAR",2,"VF_B",0
17,"PICE.MAR",3,"Fast_A",15
17,"PICE.MAR",4,"Fast_B",0
17,"PICE.MAR",5,"MED",9
17,"PICE.MAR",6,"Slow_A",313
17,"PICE.MAR",7,"Slow_B",312
17,"PICE.MAR",8,"Sng_Stem",22
17,"PICE.MAR",9,"Sng_Oth",4
17,"PICE.MAR",10,"Extra",0
17,"PICE.RUB",1,"VF_A",0
17,"PICE.RUB",2,"VF_B",0
17,"PICE.RUB",3,"Fast_A",64
17,"PICE.RUB",4,"Fast_B",0
17,"PICE.RUB",5,"MED",38
17,"PICE.RUB",6,"Slow_A",1366
17,"PICE.RUB",7,"Slow_B",1363
17,"PICE.RUB",8,"Sng_Stem",97
17,"PICE.RUB",9,"Sng_Oth",16
17,"PICE.RUB",10,"Extra",0
17,"PINU.BAN",1,"VF_A",0
17,"PINU.BAN",2,"VF_B",0
17,"PINU.BAN",3,"Fast_A",21
17,"PINU.BAN",4,"Fast_B",0
17,"PINU.BAN",5,"MED",12
17,"PINU.BAN",6,"Slow_A",445
17,"PINU.BAN",7,"Slow_B",444
17,"PINU.BAN",8,"Sng_Stem",32
17,"PINU.BAN",9,"Sng_Oth",5
17,"PINU.BAN",10,"Extra",0
17,"PINU.RES",1,"VF_A",0
17,"PINU.RES",2,"VF_B",0
17,"PINU.RES",3,"Fast_A",10
17,"PINU.RES",4,"Fast_B",0
17,"PINU.RES",5,"MED",6
17,"PINU.RES",6,"Slow_A",216
17,"PINU.RES",7,"Slow_B",216
17,"PINU.RES",8,"Sng_Stem",15
17,"PINU.RES",9,"Sng_Oth",3
17,"PINU.RES",10,"Extra",0
17,"PINU.STR",1,"VF_A",0
17,"PINU.STR",2,"VF_B",0
17,"PINU.STR",3,"Fast_A",20
17,"PINU.STR",4,"Fast_B",0
17,"PINU.STR",5,"MED",12
17,"PINU.STR",6,"Slow_A",418
17,"PINU.STR",7,"Slow_B",417
17,"PINU.STR",8,"Sng_Stem",30
17,"PINU.STR",9,"Sng_Oth",5
17,"PINU.STR",10,"Extra",0
17,"POPU.TRE",1,"VF_A",0
17,"POPU.TRE",2,"VF_B",0
17,"POPU.TRE",3,"Fast_A",17
17,"POPU.TRE",4,"Fast_B",0
17,"POPU.TRE",5,"MED",10
17,"POPU.TRE",6,"Slow_A",361
17,"POPU.TRE",7,"Slow_B",360
17,"POPU.TRE",8,"Sng_Stem",26
17,"POPU.TRE",9,"Sng_Oth",4
17,"POPU.TRE",10,"Extra",0
17,"QUER.RUB",1,"VF_A",0
17,"QUER.RUB",2,"VF_B",0
17,"QUER.RUB",3,"Fast_A",18
17,"QUER.RUB",4,"Fast_B",0
17,"QUER.RUB",5,"MED",11
17,"QUER.RUB",6,"Slow_A",390
17,"QUER.RUB",7,"Slow_B",388
17,"QUER.RUB",8,"Sng_Stem",28
17,"QUER.RUB",9,"Sng_Oth",5
17,"QUER.RUB",10,"Extra",0
17,"THUJ.SPP.ALL",1,"VF_A",0
17,"THUJ.SPP.ALL",2,"VF_B",0
17,"THUJ.SPP.ALL",3,"Fast_A",13
17,"THUJ.SPP.ALL",4,"Fast_B",0
17,"THUJ.SPP.ALL",5,"MED",8
17,"THUJ.SPP.ALL",6,"Slow_A",284
17,"THUJ.SPP.ALL",7,"Slow_B",284
17,"THUJ.SPP.ALL",8,"Sng_Stem",20
17,"THUJ.SPP.ALL",9,"Sng_Oth",3
17,"THUJ.SPP.ALL",10,"Extra",0
17,"TSUG.CAN",1,"VF_A",0
17,"TSUG.CAN",2,"VF_B",0
17,"TSUG.CAN",3,"Fast_A",16
17,"TSUG.CAN",4,"Fast_B",0
17,"TSUG.CAN",5,"MED",10
17,"TSUG.CAN",6,"Slow_A",348
17,"TSUG.CAN",7,"Slow_B",347
17,"TSUG.CAN",8,"Sng_Stem",25
17,"TSUG.CAN",9,"Sng_Oth",4
17,"TSUG.CAN",10,"Extra",0
58,"ABIE.BAL",1,"VF_A",0
58,"ABIE.BAL",2,"VF_B",0
58,"ABIE.BAL",3,"Fast_A",3
58,"ABIE.BAL",4,"Fast_B",0
58,"ABIE.BAL",5,"MED",4
58,"ABIE.BAL",6,"Slow_A",53
58,"ABIE.BAL",7,"Slow_B",42
58,"ABIE.BAL",8,"Sng_Stem",1
58,"ABIE.BAL",9,"Sng_Oth",1
58,"ABIE.BAL",10,"Extra",0
58,"ACER.RUB",1,"VF_A",0
58,"ACER.RUB",2,"VF_B",0
58,"ACER.RUB",3,"Fast_A",3
58,"ACER.RUB",4,"Fast_B",0
58,"ACER.RUB",5,"MED",5
58,"ACER.RUB",6,"Slow_A",55
58,"ACER.RUB",7,"Slow_B",44
58,"ACER.RUB",8,"Sng_Stem",1
58,"ACER.RUB",9,"Sng_Oth",1
58,"ACER.RUB",10,"Extra",0
58,"ACER.SAH",1,"VF_A",0
58,"ACER.SAH",2,"VF_B",0
58,"ACER.SAH",3,"Fast_A",8
58,"ACER.SAH",4,"Fast_B",0
58,"ACER.SAH",5,"MED",13
58,"ACER.SAH",6,"Slow_A",160
58,"ACER.SAH",7,"Slow_B",128
58,"ACER.SAH",8,"Sng_Stem",3
58,"ACER.SAH",9,"Sng_Oth",2
58,"ACER.SAH",10,"Extra",0
58,"BETU.ALL",1,"VF_A",0
58,"BETU.ALL",2,"VF_B",0
58,"BETU.ALL",3,"Fast_A",2
58,"BETU.ALL",4,"Fast_B",0
58,"BETU.ALL",5,"MED",4
58,"BETU.ALL",6,"Slow_A",43
58,"BETU.ALL",7,"Slow_B",34
58,"BETU.ALL",8,"Sng_Stem",1
58,"BETU.ALL",9,"Sng_Oth",1
58,"BETU.ALL",10,"Extra",0
58,"BETU.PAP",1,"VF_A",0
58,"BETU.PAP",2,"VF_B",0
58,"BETU.PAP",3,"Fast_A",3
58,"BETU.PAP",4,"Fast_B",0
58,"BETU.PAP",5,"MED",5
58,"BETU.PAP",6,"Slow_A",61
58,"BETU.PAP",7,"Slow_B",49
58,"BETU.PAP",8,"Sng_Stem",1
58,"BETU.PAP",9,"Sng_Oth",1
58,"BETU.PAP",10,"Extra",0
58,"FAGU.GRA",1,"VF_A",0
58,"FAGU.GRA",2,"VF_B",0
58,"FAGU.GRA",3,"Fast_A",13
58,"FAGU.GRA",4,"Fast_B",0
58,"FAGU.GRA",5,"MED",22
58,"FAGU.GRA",6,"Slow_A",271
58,"FAGU.GRA",7,"Slow_B",216
58,"FAGU.GRA",8,"Sng_Stem",5
58,"FAGU.GRA",9,"Sng_Oth",3
58,"FAGU.GRA",10,"Extra",0
58,"LARI.LAR",1,"VF_A",0
58,"LARI.LAR",2,"VF_B",0
58,"LARI.LAR",3,"Fast_A",1
58,"LARI.LAR",4,"Fast_B",0
