"landtype","spp","DOMName","poolID","amountAtT0"
9,"ACER.SAH","Sng_Oth",9,0
9,"ACER.SAH","Extra",10,0
16,"ACER.SAH","VF_A",1,30
16,"ACER.SAH","VF_B",2,4
16,"ACER.SAH","Fast_A",3,57
16,"ACER.SAH","Fast_B",4,8
16,"ACER.SAH","MED",5,75
16,"ACER.SAH","Slow_A",6,511
16,"ACER.SAH","Slow_B",7,1300
16,"ACER.SAH","Sng_Stem",8,48
16,"ACER.SAH","Sng_Oth",9,24
16,"ACER.SAH","Extra",10,0
17,"ACER.SAH","VF_A",1,34
17,"ACER.SAH","VF_B",2,4
17,"ACER.SAH","Fast_A",3,64
17,"ACER.SAH","Fast_B",4,7
17,"ACER.SAH","MED",5,83
17,"ACER.SAH","Slow_A",6,537
17,"ACER.SAH","Slow_B",7,1319
17,"ACER.SAH","Sng_Stem",8,48
17,"ACER.SAH","Sng_Oth",9,28
17,"ACER.SAH","Extra",10,0
58,"ACER.SAH","VF_A",1,23
58,"ACER.SAH","VF_B",2,4
58,"ACER.SAH","Fast_A",3,53
58,"ACER.SAH","Fast_B",4,8
58,"ACER.SAH","MED",5,85
58,"ACER.SAH","Slow_A",6,438
58,"ACER.SAH","Slow_B",7,1118
58,"ACER.SAH","Sng_Stem",8,52
58,"ACER.SAH","Sng_Oth",9,19
58,"ACER.SAH","Extra",10,0
59,"ACER.SAH","VF_A",1,21
59,"ACER.SAH","VF_B",2,4
59,"ACER.SAH","Fast_A",3,57
59,"ACER.SAH","Fast_B",4,8
59,"ACER.SAH","MED",5,89
59,"ACER.SAH","Slow_A",6,465
59,"ACER.SAH","Slow_B",7,1170
59,"ACER.SAH","Sng_Stem",8,53
59,"ACER.SAH","Sng_Oth",9,24
59,"ACER.SAH","Extra",10,0
65,"ACER.SAH","VF_A",1,26
65,"ACER.SAH","VF_B",2,3
65,"ACER.SAH","Fast_A",3,47
65,"ACER.SAH","Fast_B",4,6
65,"ACER.SAH","MED",5,93
65,"ACER.SAH","Slow_A",6,385
65,"ACER.SAH","Slow_B",7,938
65,"ACER.SAH","Sng_Stem",8,49
65,"ACER.SAH","Sng_Oth",9,17
65,"ACER.SAH","Extra",10,0
66,"ACER.SAH","VF_A",1,28
66,"ACER.SAH","VF_B",2,4
66,"ACER.SAH","Fast_A",3,53
66,"ACER.SAH","Fast_B",4,7
66,"ACER.SAH","MED",5,104
66,"ACER.SAH","Slow_A",6,416
66,"ACER.SAH","Slow_B",7,1033
66,"ACER.SAH","Sng_Stem",8,57
66,"ACER.SAH","Sng_Oth",9,22
66,"ACER.SAH","Extra",10,0
67,"ACER.SAH","VF_A",1,30
67,"ACER.SAH","VF_B",2,4
67,"ACER.SAH","Fast_A",3,69
67,"ACER.SAH","Fast_B",4,7
67,"ACER.SAH","MED",5,112
67,"ACER.SAH","Slow_A",6,469
67,"ACER.SAH","Slow_B",7,1125
67,"ACER.SAH","Sng_Stem",8,63
67,"ACER.SAH","Sng_Oth",9,33
67,"ACER.SAH","Extra",10,0
68,"ACER.SAH","VF_A",1,42
68,"ACER.SAH","VF_B",2,6
68,"ACER.SAH","Fast_A",3,97
68,"ACER.SAH","Fast_B",4,10
68,"ACER.SAH","MED",5,155
68,"ACER.SAH","Slow_A",6,659
68,"ACER.SAH","Slow_B",7,1534
68,"ACER.SAH","Sng_Stem",8,88
68,"ACER.SAH","Sng_Oth",9,43
68,"ACER.SAH","Extra",10,0
