simID,areaName,scenario,mgmt,cropped,spinup,fire,BDA,wind,harvest,replicate
84,ForMont,RCP85,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
85,ForMont,RCP45,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
86,ForMont,RCP85,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
87,ForMont,RCP45,2.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
88,ForMont,RCP85,2.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
89,ForMont,RCP45,2.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
90,ForMont,RCP85,2.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
91,ForMont,RCP45,2.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
92,ForMont,RCP85,2.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
93,ForMont,RCP45,3.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
94,ForMont,RCP85,3.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
95,ForMont,RCP45,3.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
96,ForMont,RCP85,3.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
97,ForMont,RCP45,3.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
98,ForMont,RCP85,3.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
99,ForMont,RCP45,4.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
100,ForMont,RCP85,4.1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
101,ForMont,RCP45,4.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
102,ForMont,RCP85,4.2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
103,ForMont,RCP45,4.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
104,ForMont,RCP85,4.3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
105,Hereford,RCP45,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
106,Hereford,RCP85,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
107,Hereford,RCP45,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
108,Hereford,RCP85,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
109,Hereford,RCP45,3,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2
